image_path,name,target,source,way_of_connection,connection,way_of_mapping,mapping_strategy,"detail_mapping: Color, Style,Size,Structure,Graphics, Light and Shadow, Function, Interaction/ movement,Texture,Material,Temperatur Sound,Taste,Smell",,,,,,,,
17.png,Teo Tea Strainer,Tea Strainer,Human,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,Tea strainer looks like a human holding a tea strainer,color & function,,,,,,,,
18.png,Sapper Kettle,Kettle,Steamboat,behavioral,both steamboat and Kettle signal readiness with sound,usage,Kettle's whistle functions like a steamboat's whistle,form & material,,,,,,,,
19.png,null,Chair,Animal,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,Chair looks like an animal cautiously extending its foot,form & movement,,,,,,,,
20.png,Death Star Popcorn Maker,Popcorn Maker,Death Star,behavioral,Both  Death Star and Popcorn maker harness powerful energy,vision,Popcorn maker looks like the Death Star,texture & style,,,,,,,,
21.png,Set Table Lamp,Table Lamp,Screw,behavioral,adjusting  Lamp brightens or dims interacts like adjusting a screw tightens or loosens,usage,adjusting  Lamp brightens or dims interacts like adjusting a screw tightens or loosens,form & texture,,,,,,,,
22.png,Sweetheart Nutcracker,Nutcracker,Crocodile,behavioral,Both crocodile and Nutcracker closes the mouth forcefully,vision,Nutcracker's serrated jaws look like a crocodile's teeth,form & structure,,,,,,,,
23.png,Oliver Oil Taster,Oil Pourer,Olive,visceral,"The olive oil dispenser is shaped like an olive, evokes a sense of natural authenticity",vision,The oil pourer looks like an olive,color & size & structure,,,,,,,,
24.png,Pino Funnel,Funnel,Pinocchio,visceral,"Pinocchio's long nose looks like the funnel's spout extends, evokes afunny cooking experience",vision,The funnel's spout looks like Pinocchio's nose,color & graphics,,,,,,,,
25.png,Nut Splitter,Nut Opener,Maple Seed,reflective,Maple seed symbolizes breaking open functions like the Nut Splitter opens nuts,vision,Nut Splitter looks like a maple seed,structure & size,,,,,,,,
26.png,Bunny & Carrot Holder,Kitchen Roll Holder,Carrot & Bunny,behavioral,The carrot's elongated shape functions like the central rod of the paper towel holder,vision,Kitchen roll holder looks like a carrot being held by a bunny,graphics,,,,,,,,
27.png,Fatman Cake Stand,Cake Stand,Clown,visceral,"The cake stand looks like a clown, evoking a sense of joy and amusement in users during dessert presentation",usage,Cake stand folds like a clown's act changes,color & graphics,,,,,,,,
28.png,Cico Egg Cup,Egg Cup,Human,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,The egg cup looks like a human figure with a spoon,color & graphics,,,,,,,,
29.png,Mediterraneo Napkin Holder,Napkin Holder,Coral,behavioral,Coral holds marine functions life like the napkin holder holds napkins,vision,The napkin holder looks like coral,form ,,,,,,,,
30.png,Pepelkus outdoor cigarette receptacle,cigarette receptacle,cigarette,visceral,cigarette can promote cigarette receptacle's function for cigarette receptacle,vision,The cigarette receptacle looks like a cigarette,fomr & graphics & color,,,,,,,,
31.png,CO1369/toothpick holder,Toothpick holder,Dancer,behavioral,Picking toothpick from toothpick holder interacts like a gymnast balancing on a beam.,usage,retrieve a toothpick interacts like  the dynamic action of balance of a dancer,form & material & structure & style,,,,,,,,
32.png,A Lotus Leaf,Centerpiece,Lotus Leaf,visceral,"The Centerpiece is flat and round, looks like a lotus leaf",vision,Lotus leaf's organic shape looks like the form of the centerpiece,texture & material,,,,,,,,
33.png,Eames Elephant,children chair,elephant,visceral,The elepant looks like a chair and evokes a playful emotion for children,vision,The chair's structure looks like an elephant,structure & form,,,,,,,,
34.png,Chip/magnetic paper clip holder,Magnetic paper clip holder,Bird,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,The paper clip holder looks like a bird,material,,,,,,,,
35.png,Pes,Paper knife,Fish,visceral,The shape of the fish is as sharp as a letter opener,vision,The paper knife looks like a fish,material & shape,,,,,,,,
36.png,Art Deco Metal Desk Light with Melting Tapered Shade,lamp,melting paint,visceral,melting paint evokes a sense of fluidity and creativity in the users.,vision,The lower edge of the lamp looks like milk running down,color & form,,,,,,,,
37.png,The Five Seasons,Fragrance diffuser,Tree branches,behavioral,The branches spread scent functions like  Fragrance diffuser spread the scent,vision,The diffuser's wooden leaves look like stylized branches,material,,,,,,,,
38.png,Dédé,Doorstop,Human figure,reflective,"The doorstop's human-like figure symbolizes the effort needed to hold a heavy door,",vision,The doorstop looks like a squatting human figure,color & structure,,,,,,,,
39.png,Juicy Salif,Citrus squeezer,Spider,visceral,The spider evokes intrigue and fascination emotion while juicing,vision,The citrus squeezer looks like a spider,interaction & material & structure,,,,,,,,
40.png,Gianni a little man holding on tight/KITCHEN BOX,Kitchen box,Little man,visceral,"The figurines inside the lid visually resemble small characters holding onto the lid, evoking a playful and whimsical emotion in the jars’ users.",vision,add a little man figure on the inside top of the lid,material & color & form,,,,,,,,
41.png,Circus/KITCHEN BOX,merry-go-round,kitchen box,visceral,The merry-go-round evokes feelings of joy and nostalgia in the kitchen,vision,The lid of the kitchen box looks like the top of a merry-go-round,color & shape,,,,,,,,
42.png,9093 Kettle,kettle,bird,behavioral,Bird singing founctions like the boiling sound of water in the kettle,vision,A bird figure is added on the spout of the kettle,color & sound,,,,,,,,
43.png,Pito Kettle,kettle,fish,reflective,Fish shape symbolizes the flowing and movement of water in the kettle,vision,The kettle's handle and spout look like darting fish,form & sound,,,,,,,,
44.png,Souper Tail,ladle,whale,visceral,The tail of the whale looks like the ladle's handle,vision,The ladle’s shape looks like a whale's tail and body,form & color & graphics,,,,,,,,
45.png,Pelicup,Tea Bag Holder,pelican,behavioral,A pelican holds items in its beak functions like the tea bag holder on a cup,vision,The long beak of the pelican looks like a tea bag holder,color & graphics,,,,,,,,
46.png,Leafriend,plant support,human,visceral,the Anthropomorphic design can evoke a funny and playful emotion,vision,The plant supports looks like human figure,structure & color,,,,,,,,
47.png,Fries Clips,bag clip,french fries,behavioral,Both the fries clips and actual French fries are commonly associated with packaging,vision,the Fries Clips looks like french fries,accessories & color & graphics,,,,,,,,
48.png,RecorDING,bicycle bell,vinyl record,behavioral,Sliding the bicycle bell's lever interacts like sliding the arm of a vinyl record player,usage,The motion of using the bell interacts like playing a vinyl record,texture & style & structure,,,,,,,,
49.png,Mrs. Sponge,sponge holder,woman,visceral,"A well-dressed woman looks like a stylish sponge holder, evoke a humorous kitchen experience",vision,The shape of the sponge holder looks like a woman in a dress,texture & color,,,,,,,,
50.png,Zipmark,bookmark,zipper,behavioral,A zipper closes an item functions like a bookmark holds a place in a book,vision,The bookmark looks like a zipper,color & structure,,,,,,,,
51.png,YolkFish,egg separator,fish,behavioral,A fish sucks in water functions like  egg separator seperates egg white,function,The YolkFish functions like a fish sucking in food or water,material & movement,,,,,,,,
52.png,Trunky Dory,shower head holder,elephant,behavioral,An elephant's trunk holds water functions like the shower head holder secures the shower head,vision,The shower head holder looks like an elephant's trunk,function & material,,,,,,,,
53.png,Sugar House,sugar bowl,house,reflective,"house symbolizing the coziness and warmth of home, creating a nostalgic and comforting experience for users as they interact with it.",vision,The sugar bowl looks like a snow globe with a house inside,material & texture & structure,,,,,,,,
54.png,Soap Opera,dish scrubber holder,diva,reflective,Both A diva cleanses in the bath and scrubber cleans dishes promotes cleaning,vision,The scrubber holder looks like a diva with a scrubber as her hair,texture & structure,,,,,,,,
55.png,Oiladdin,oil pourer,oil lamp,behavioral,Rubbing an oil lamp releases a genie interacts like tilting the pourer releases oil,usage,The interaction of tilting the pourer mimics the action of pouring oil from an oil lamp,form & style,,,,,,,,
56.png,Lightmark,bookmark,reading lamp,behavioral,The bookmark functions like a desk lamp shining light on a specific spot,vision,The bookmark looks like a small reading lamp,color & structure,,,,,,,,
57.png,Key Pete,key holder,person,behavioral,A person holds objects securely interactes like Key Pete holds keys with his magnetic hands,vision,The key holder looks like a person holding onto a surface,color & structure,,,,,,,,
58.png,Egguins,egg holder,penguins,behavioral,Penguins protect their eggs in harsh environments interacts like Egguins hold and protect eggs in the fridge or boiling water,vision,The egg holder looks like a group of penguins huddling together,structure & color,,,,,,,,
59.png,Dustache,dustpan & brush set,friendly face,visceral,A friendly face envokes cleaning feel playful and less tedious,vision,The brush acts as a moustache and the dustpan has markings that complete the facial features,color & structure,,,,,,,,
60.png,Bloom,napkin holder,flower,reflective,A flower evokes a sense of renewal and beauty like Bloom transforms a napkin into a blossoming flower,vision,The napkin holder looks like a flower stem that turns a napkin into petals,color & structure,,,,,,,,
61.png,Arthur,egg cup,knight,behavioral,A knight protecting an egg functions like egg cups protects an egg,vision,The egg cup looks like a knight's armor,color & structure,,,,,,,,
62.png,BottleTie,corkscrew,tie,visceral,"The corkscrew associate with bottle looks like a necktie associate with a human, evoking a sense of sophistication and elegance",vision,The corkscrew looks like a necktie,color & style,,,,,,,,
63.png,Calf & Half,milk pitcher,calf,visceral,The calf evokes a feeling of fresh and authentic of milk inside the milk pitcher,vision,The inner glass structure looks like a calf’s udders,form & structure,,,,,,,,
64.png,LuoCoCo Cute Egg Separator,Egg Separator,chick,visceral,"The egg separator looks like a baby chick, evoking a playful and cute emotion in the users during the cooking process.",usage,The separator interacts like a chick vomiting,form & color & style,,,,,,,,
65.png,Bean Playing Tennis,Tennis Ball Bag,pea pod,behavioral,The tennis balls are contained in the bag functions like peas in a pod,vision,The tennis balls look like peas inside a pod,color & form & structure,,,,,,,,
66.png,La cupola,espresson moka pot,italy dome,reflective,The italy dome symbolize the long history and traditional of coffee in italy,vision,The moka pot looks like italy dome,structure,,,,,,,,
67.png,Hexagon Honey,honey jar,honeycomb,visceral,The honycomb can evoke a feeling of fresh when tasting honey from honey jar,vision,The honey jar looks like a honeycomb cell,form & structure,,,,,,,,
68.png,"FEEL THE NATURE, FEEL THE FORM!",Key Holder,honeycomb,reflective,The honycomb symbolize the unity and harmony of familiy,usage,return the key to the key holder interacts like a bee returning to their hive,form & structure & function & color,,,,,,,,
69.png,LH2O,Water Bottle,chemical structure,product,the geometric structure of a water molecule,vision,The bottle looks like a chemical model representing the structure of H2O,form & structure & function,,,,,,,,
70.png,Paper Wall Shelf,Wall Shelf,blowing paper,reflective,paper blowing in the wind symbolizing lightness and creativity in the living space.,vision,Each shelf looks like sheets of paper caught in the wind,form & structure & color & size,,,,,,,,
71.png,Scratch Coasters,table mats,abstracted scribbles,visceral,abstracted scribbles evoking a sense of artistic spontaneity and playfulness in the dining experience,vision,The table mats look like playful scribbles,form & structure & color,,,,,,,,
72.png,null,tea Bags,clothes hanger,behavioral,organizing the tea bag interactes like organizing the clothes,usage,Hanging the tea bag to the cup interacts like hanging a cloth,form & structure & style,,,,,,,,
73.png,null,tea Bags,butterfly,visceral,The butterfly evokes a poetic and peaceful emotion for tea drinking,vision,The tea bag's tag looks like a butterfly resting on the cup,form & structure & color,,,,,,,,
74.png,null,Stapler,whale,behavioral,Both a stapler and whale closes its mouth powerfully,vision,The stapler looks like a whale with its mouth open,form & structure & color & interaction,,,,,,,,
75.png,école cantonale d’art de Lausanne,Cutlery,vegetables,reflective,the vegetables promots the biodegradable materials used to create them,vision,The cutlery looks like various vegetables,form & color & texture,,,,,,,,
76.png,Sassy Playful Minimalist Wooden Cabinet,cabinet,waiter,visceral," The waiter looks like a waiter, evoking a sense of whimsy and friendliness in the living space.",vision,The cabinet looks like a waiter with a cup on his hand,fomr & graphics & color & structure,,,,,,,,
77.png,Penguin And Crab Doorbell,Doorbell,penguin & crab,visceral,Penguin And Crab evoke a emotion of funny and humor when visitors enter the door,vision,The doorbell looks like a cute penguin holding a crab,form & color,,,,,,,,
78.png,Magic Bunny Toothpick Holder?,Toothpick holder,magic bunny,behavioral,Pulling out the rabbit from the hat interacts like pulling out the toothpick from toothpick holder,usage,Pulling out the rabbit from the hat interacts like pulling out the toothpick from toothpick holder,fomr & graphics & color & structure,,,,,,,,
79.png,Deer_Meadow_Toothpick_Holder,"Toothpick Holder,",deer in meadow,visceral,The shape of  the toothpicks gathered together looks like a lawn,vision,The toothpicks looks like blades of grass surrounding a small deer,form & structure & color,,,,,,,,
80.png,Polar Bears Ceiling Lights,Ceiling Light,Polar Bears,visceral,Polar bears playfully hanging conveys joyful moments,vision,The polar bears look like they are hanging from glowing orbs,form & movement & light and shadow,,,,,,,,
81.png,nendo Designs IoT Home Appliances - Scale,scale,cloud,visceral,The scale’s icon a ‘cloud’ symbolizes the desire to be lightweight.,vision,The scale's surface looks like a soft cloud,form & color,,,,,,,,
82.png,nendo Designs IoT Home Appliances - Clock,alarm clock,bird,behavioral,A chirping bird wakes you up functions like an alarm clock,hearing,The bird on top interacts like an alarm sound,form & interaction & color,,,,,,,,
83.png,Grid-Bonsai,Bonsai,Puzzle,reflective,"The intricate, lattice-like structure in the image symbolizes the meticulous care and artistic craftsmanship required in bonsai cultivation",usage,Puzzle interacts like a Grid-Bonsai that can be customized and shaped.,Structure & form & function,,,,,,,,
84.png,Japanese Lantern Candle,Japanese ‘chouchin’ lantern,Candle,reflective,Japanese latern symbolizes the appreciation of cultural heritage and sustainability like using candle,Vision,The candle looks like a Japanese latern,light & form & structure,,,,,,,,
85.png,al design,Tea cup,Key board,reflective,Keyboard transforms the mundane experience of drinking tea into a playful and intellectually stimulating experience.,usage,Taking a teacup out of a tray interacts like taking a key off a keyboard,fom & function & color & graphics ,,,,,,,,
86.png,Pip,Key ring,mouse,behavioral,The mmouse's thin and twist tail functions like a key ring which hold keys with  thin and twist hook,vision,the key ring looks like a mouse's tail,form & structure,,,,,,,,
87.png,neyuki,Cheesecake,Snowy Landscape,reflective,nowy landscape symbolize the traditional Northern method of preserving vegetables and fruits in snow,usage,Removing a toothpick from the cake is like taking vegetables out of the snow,Form & clolor & Temperature,,,,,,,,
88.png,Pontos_Wallclock,Wall clock,Wristwatch,behavioral,both A wriswatch and a wall clock has a dial plate.,vision,The wristwatch's dial and numbers merge with the design of the wall clock,form & color & graphics & interaction,,,,,,,,
89.png,Jumbo handbag table hook,table hook,elephant balancing on a ball,behavioral,An elephant's trunk holds things functions like a hook hoke the bag,vison,The hook looks like an elephant's trunk,form & strucuture,,,,,,,,
90.png,Chocolamixture,Chocolate set,Laboratory flask,behavioral,A flask holds mixtures functions like the chocolate container holds flavors,usage,The chocolate container functions like a flask for mixing different flavors,form & material & interaction,,,,,,,,
91.png,chocolate-paint,chocolate,paint,behavioral,A box of paints holds colors functions like the chocolate container holds flavors,usage,Opening the chocolate package interacts like opening a box of paints,color & graphics & texture,,,,,,,,
92.png,Oppopet Mouse,mouse,pet,visceral,The cute pets evoke a playful and humor emtion when doing tedious work on computer.,vision,The USB receiver looks like an animal tail,form & color & structure,,,,,,,,
93.png,maki,Ceiling Light,paper roll,reflective,symbolizes the concept of gently wrapping or rolling up light itself,vision,The lamp looks like a paper roll,form & color & structure & ligh and shadow,,,,,,,,
94.png,parte,fruit bowl,cork,behavioral,Cork's versatility and lightness functions like a transformable fruit bowl.,usage,The bowl's ability to be reconfigured interacts like cork being easily shaped and manipulated.,material & form & interaction & color & function,,,,,,,,
95.png,forest-spoon,forest,spoon,visceral,the forest gives evokes a harmony emotion when having dinner,vison,The handle of the spoon looks like a forest and a bird,structure & graphics,,,,,,,,
96.png,pyggy-bank,piggy bank,pig,reflective,"the pig symbolize the history of the ""PIGGY BANK,"" known as the ""PYGG"" in medieval Europe",vision,The holes for the money look like a pig's nostril,form & color & structure,,,,,,,,
97.png,thin black lines,chair,thin black lines,reflective,Black lines symbolizes the fusion of traditional Japanese artistic principles with modern design aesthetics for Chair,vision,The chair looks like black lines,structure & color,,,,,,,,
98.png,socket-deer,outlet plate,deer antlers,behavioral,The antlers provide a place to hang items functions like an outlet plate supports plugs,usage,The outlet plate holding items functions like antlers holding objects,form & structure,,,,,,,,
99.png,chocolate-pencils,chocolate and desert set,colored pencils and,reflective,"The colored pencil sybolized creating edible art,  blending the act of eating with artistic expression.",usage,grate chocolate onto their dessert interacts like sharpening a pencil,fom & function & color,,,,,,,,
100.png,Cabbage Chair,pleated paper chair,cabbage,behavioral,Peeling back layers of the pleated paper can make a chair-like structure,usage,Pelling the cabbage can lookis like a chair,function & structure,,,,,,,,似乎主要映射还是这两个
101.png,ILLOIHA OMOTESANDO,fitness climbing wall,paintingg frame,visceral,paintingg frame promots the concept of "becoming beautiful by moving your body",usage,Climbing interacts like moving through a decorated room,function & form & structure & color,,,,,,,,
102.png,Kazan Tissue Dispenser,tissue dispenser,volcano,behavioral,Pulling tissues through the dispenser functions like smoke emerging from a volcano,vision,The tissue coming out looks like volcanic smoke,form & function & color,,,,,,,,
103.png,key-calendar,calendar,key & lock,reflective,begining a new day is like unlocking a door,usage,The key interacts with the calendar like unlocking a door,form & function & structure,,,,,,,,
104.png,ribbon,stool,ballet ribbon,visceral,ribbon evokes a playful seating experience with a ribbon-like elasticity,vision,The stool's frame looks like a ballet ribbon,form & structure & material,,,,,,,,
105.png,roll,basin,paper,behavioral,A paper rolled into a circular shape forms a boundary functions like a basin containing water,vision,The basin's shape looks like a sheet of paper rolled into a spiral,form & structure & color,,,,,,,,
106.png,DATA clip,USB drive,paper clip,reflective,both the USB drive and the paper clip symbolize the link between files,usage,the bottom of a USB drive interacts like a paper clip,form & function & structure,,,,,,,,
107.png,bell-orgel,music box,bell,behavioral,Both the bell and the music box can produce nice sound,usage,Opening a music box is like ringing a bell,form & sound & interaction,,,,,,,,
108.png,Harcourt-chessboard,chess set,Harcourt glass,behavioral,Both the Harcourt glass and chess pieces are handled by two people across a table,vision,Each chess pieces looks like a Harcourt glass,form & material & color & structure,,,,,,,,
109.png,Starbuck's mug americano / mug latte / mug caramel macchiato,mug,Coffee surface,reflective,"The graphic of coffee on the mug's bottom creates the illusion of a full cup, promote a sense of satisfaction",vision,The bottom of the mug looks like the surface of a filled coffee cup,graphics & color & texture,,,,,,,,
110.png,Cat-shaped TWS Earbuds Case,Earbuds Case,Cat and cat nest,visceral,The structure of the earbuds cased looks like a cat nest and evokes a sense of cute and relax,vision,The whole earbuds looks like a cat sleeping on the top of cat nest,form & structure & shape & color,,,,,,,,
111.png,Hidden Honeycomb Light Box,lamp,honeycomb,visceral,The light of the lamp looks like the shining color of the honeycomnb,vision,The lamp looks like a honeycomb,form & light and shadow & structure & Color,,,,,,,,
112.png,Catvas,cnava,cat scratching mat,reflective,"Canva transforms the perception of a cat's scratching behavior into an opportunity for artistic expression, promoting a re-evaluation of the human-animal relationship.",usage,The cat scratching the scratching mat interacts like human drawing on a painting canva,interaction & form & color,,,,,,,,
113.png,JUICEPELL Packaging - 1,strawberry juice package,strawberry,visceral,the strawberry evoke a sense of fresh for strawberry juice,vision,The juice carton looks like a strawberry,color & texture & form & graphic,,,,,,,,
114.png,JUICEPELL Packaging - 2,banana juice package,banana,visceral,the banana evoke a sense of fresh for banana juice,vision,The juice carton looks like a banana,color & texture & form & graphic,,,,,,,,
115.png,The MUJI Wall-mounted CD Player,CD player,ventilation fan,behavioral,The ventilation fan's spinning motion to stabilize airflow interacts like the CD player's disc rotation to stabilize sound,usage,The CD player interacts like a ventilation fan when pulling the cord,form & function & movement & interaction & color & structure,,,,,,,,
116.png,MOKUREN,chandelier,magnolia tree,reflective,tree’s branches and flowers symbolize beauty and eternal bonds in the room,vision,The chandelier's structure and lights looks like  blossoms of a magnolia tree,form & material & light & texture,,,,,,,,
117.png,Balloonapkins,Napkin Holder,floating balloons,visceral,"The Balloonapkins looks like floating balloons, evoking a sense of joy and celebration in the party's guests.",vision,The napkin holder's structure and form looks like a Balloonapkin,form & structure & Color,,,,,,,,
118.png,Sirocco Speaker,Speaker,Chinese latern,reflective,The Chinese latern symbolizes a fusion of modern technology with cultural heritage,usage,amplifying the sound interacts like folding a lamp,interaction & structure & function & color,,,,,,,,
119.png,topography plate,plate,mountain range,reflective,mountain range and forest transform the dining table into a scenic environment.,vision,The concave shape of the plate looks like a mountain's basin,fom & function & structure,,,,,,,,
120.png,null,table lamp,scroll,behavioral,"The scroll unrolls to reveal its content functions like the lamp unrolls to reveal its light,",usage,unrolling a paper interacts like opening a lamp,fom & function & color,,,,,,,,
121.png,OBJECT,lamp,flower and vase,reflective,the flower can evoke a harmony and beautiful house environment,vision,The lamp's light creates the appearance of a flower and vase on the wall,light & form & interaction & structure,,,,,,,,
122.png,PAINT,lighting equipment,paint,behavioral,both the light and the paint decorate a room,vision,The lamp's light appears like a paintbrush stroke on the canvas,light & form & Graphics,,,,,,,,
123.png,null,stool,tree trunk,visceral,The stool looks like a tree trunk,vision,The stool's texture and form look like a real tree trunk,texture & form & material & structure,,,,,,,,
124.png,Convertible Bag,handbag,Origami,behavioral,Both the origami and the handbag need to transformed into different forms,interatcion,Changing the shape of a handbag interacts like playing origami,texture & form & structure & function ,,,,,,,,
125.png,Vegetabrella Lettuce Umbrella,umbrella,lettuce,reflective,The vegetable promote accepting vegetables into your life as using umbrella daily,vision,The umbrella looks like a lettuce when close,form & graphics & structure,,,,,,,,
126.png,Handyfan,handyfan,Popsicle,visceral,the Popsicleevokes a sense of cool for users when using fan,vision,The head of the electric fan is like the head of the ice popsicle,from & structure & interaction & color ,,,,,,,,
127.png,'The Giving Tree' sticky memo pad,sticky note pads,tree stumps,behavioral,Both stumps and notes can be divided into layers,vision,The sticky notes looks like tree stumps,form & graphics & structure & color,,,,,,,,
128.png,Maki pin holder,Caviar sushi,pin holder,visceral,The tip of the pin looks like a caviar,vision,The pin holder and the pin looks like a Caviar sushi,form & graphics & structure & color,,,,,,,,
129.png,Pita Bread Pencil Holder,pencil holder,pita bread,behavioral,The pita bread rolls dishes together interacts like the pencil holder rolls pens together,usage,rolls pens together interacts like the rolls dishes together,graphics & color & shape,,,,,,,,
130.png,AJORí,cruet,grlic,behavioral,"Both the cruet set and a garlic bulb cluster together in a similar manner, allowing for easy selection and use of individual elements.",usage,Remove a gralic bulb from a garlic interacts like taking a cruet-stand from cruet shelf,form & color & structure & interaction,,,,,,,,
131.png,Frozen Peas Ice Cube Mould,icecube mould,Edamame,visceral,Frozen pea pods encapsulate spheres of water functions like ice molds encapsulate  spherical ice cubes,usage,"The ice is squeezed out of the mold like peas are popped out of a pod,",form & structure & shape & color,,,,,,,,
132.png,porcupine pencil holder,pencil holder,porcupine,behavioral,Porcupine's quills hold their spines like a pencil holder hold pencils,vision,The pencil holder's form looks like a porcupine with quills,structure & form,,,,,,,,
133.png,Alessi Corkscrew,corkscrew,human figure,visceral,The corkscrew's arms lift interacts like a human's arms while opening a bottle,vision,The corkscrew's body and handle look like a person,form & structure & color & interaction,,,,,,,,
134.png,Polar Bear Tea Bag Holder,tea bag holder,polar bear fishing,visceral,"The polar bear's fishing looks like dipping a tea bag into tea, evoking a funny and playful emotion when having tea",vision,The tea bag holder's design looks like a polar bear fishing,form & structure & color,,,,,,,,
135.png,Dinosaur Lamp,lamp,brachiosaurus,visceral,"a brachiosaurus looks like a lamp, evoking a sense of playfulness and nostalgia in its users.",vision,The curved neck of the lamp looks like the long neck of a brachiosaurus,form & color & structure & interaction,,,,,,,,
136.png,Peeling Corner Lamp,lamp,peeling wall,visceral,"The lamp looks like a peeling wall, evoking a sense of curiosity and surprise in the users",vision,The lamps shape and placement looks like the wall peeling to reveal light underneath,form & light and shadow & structure & Material,,,,,,,,
137.png,Puddle Vase,vase,puddle,context product,a flower growing naturally out of a puddle,vision,The vessel looks like a real puddle with a flower emerging from it,form & structure & metarial,,,,,,,,
138.png,Book Flower Pot,flower pot,book,context product,a folwer pot is always present on a book shelf,usage,The book-shaped flower pot functions like a book,form & structure & material & function,,,,,,,,
139.png,TweetTunes earbuds,earbuds,bird,behavioral,Both the bird and the TweetTunes can sing a song,vision,The earbuds' shape looks like small birds perched on a branch,form & color & interaction,,,,,,,,
140.png,QUALY Squirrels Love the Forest-Pencil Sharpener,pencil sharpener,squirrel,behavioral,The pencil sharpener collects shavings functions like a squirrel gathering nuts in the forest,vision,"the shavings looks like fallen leaves, and a squirrel is on top of it.",form & color & interaction & structure,,,,,,,,
141.png,Guitar Scissors,scissors,guitar,visceral,The guitar can evoke playful experience and  help you cut through boredom for your design project,vision,The scissors’ shape looks like a Stratocaster guitar,form & structure & material & color& graphics,,,,,,,,
142.png,In.Water Desk,desk,polluted water,visceral,"The blue desk looks like the gradual accumulation of pollution in our waters, mirroring how clutter accumulates on a workspace, disrupting its clarity and function",usage,The translucent gradient of  the desk’s surface becomes  obscured looks like clear water becomes polluted water,color,,,,,,,,
143.png,Banannang,cloth hanger,banana,behavioral,"Banannang symbolizes the playful and liberating experience of peeling a banana, promoting the concept that forming good habits can be enjoyable and creative for children.",usage,Using Banannang interacts like peeling a banana,color & form & Graphics & structure,,,,,,,,
